55m,0.00%,45,38m,0.00%,63
55m,0.30%,45,38m,0.30%,63
57m,0.47%,53,38m,0.00%,63
58m,1.39%,54,39m,0.00%,63
59m,0.00%,54,39m,0.48%,63
60m,0.95%,53,39m,0.00%,63
61m,0.00%,53,39m,0.00%,63
62m,0.96%,54,39m,0.00%,63
63m,0.47%,53,40m,0.00%,63
63m,0.00%,53,40m,0.47%,63
64m,0.95%,54,40m,0.00%,63
65m,0.49%,53,40m,0.00%,63
65m,0.00%,53,40m,0.00%,63
66m,1.45%,54,40m,0.00%,63
67m,0.49%,53,41m,0.00%,63
67m,0.00%,53,41m,0.49%,63
68m,1.46%,54,41m,0.00%,63
69m,0.00%,53,41m,0.00%,63
69m,0.48%,53,41m,0.00%,63
71m,0.98%,54,41m,0.00%,63
71m,0.49%,53,42m,0.00%,63
72m,0.00%,53,42m,0.00%,63
73m,0.97%,54,42m,0.48%,63
73m,0.97%,53,42m,0.00%,63
74m,0.00%,53,42m,0.00%,63
74m,0.93%,54,43m,0.00%,63
75m,0.00%,54,43m,0.49%,63
75m,0.00%,55,43m,0.00%,63
75m,0.47%,54,43m,0.00%,63
80m,3.30%,55,43m,0.00%,63
88m,4.03%,55,43m,0.33%,63
99m,8.10%,55,44m,0.00%,63
110m,7.87%,55,44m,0.00%,63
122m,6.86%,55,44m,0.00%,63
133m,7.86%,55,44m,0.49%,63
138m,3.44%,55,44m,0.00%,63
148m,8.86%,55,45m,0.00%,63
25m,8.73%,55,45m,0.00%,63
37m,8.28%,55,10m,0.00%,63
41m,2.42%,53,10m,0.48%,63
41m,0.49%,45,10m,0.00%,63
TIME:43.6466708183,CODE:0
STOP
42m,0.00%,46,11m,0.00%,64
43m,0.30%,46,11m,0.00%,64
45m,0.94%,54,12m,0.00%,64
45m,0.00%,54,12m,0.46%,64
TIME:5.57130599022,CODE:1
STOP
46m,6.49%,48,13m,0.00%,65
46m,0.00%,48,13m,0.00%,65
48m,0.33%,56,13m,0.00%,65
48m,0.45%,56,13m,0.00%,65
TIME:5.59036803246,CODE:2
STOP
50m,0.00%,49,14m,1.37%,66
TIME:0.885498046875,CODE:3
STOP
TIME:1.87372612953,CODE:4
STOP
52m,0.00%,50,15m,0.00%,67
53m,0.45%,50,15m,0.00%,67
54m,0.30%,58,15m,0.00%,67
56m,1.39%,59,16m,0.00%,67
56m,0.00%,59,16m,0.00%,67
57m,0.46%,58,16m,0.46%,67
57m,0.00%,58,16m,0.00%,67
58m,1.86%,59,16m,0.00%,67
59m,0.47%,59,17m,0.00%,67
59m,0.00%,57,17m,0.49%,67
60m,0.47%,58,17m,0.00%,67
61m,0.49%,58,17m,0.00%,67
62m,0.48%,57,17m,0.00%,67
62m,0.49%,57,17m,0.00%,67
63m,0.49%,58,18m,0.00%,67
64m,0.96%,57,18m,0.00%,67
64m,0.00%,57,18m,0.49%,67
65m,1.44%,58,18m,0.00%,67
66m,0.49%,57,18m,0.00%,67
66m,0.00%,57,18m,0.00%,67
68m,0.98%,58,19m,0.49%,67
68m,0.00%,58,19m,0.00%,67
69m,0.93%,57,19m,0.00%,67
69m,0.00%,58,19m,0.00%,67
70m,0.98%,58,19m,0.00%,67
71m,0.48%,57,20m,0.00%,67
71m,0.00%,57,20m,0.00%,67
72m,0.49%,58,20m,0.49%,67
72m,0.00%,58,20m,0.00%,67
72m,0.48%,49,20m,0.00%,67
TIME:32.0191860199,CODE:5
STOP
74m,0.00%,50,21m,0.00%,68
74m,0.00%,50,21m,0.32%,68
76m,1.38%,58,21m,0.00%,68
TIME:4.57220983505,CODE:6
STOP
77m,0.00%,51,22m,0.00%,69
TIME:1.80005908012,CODE:7
STOP
79m,0.00%,51,25m,0.00%,69
TIME:1.94084715843,CODE:8
STOP
